professor,review,tags
Jim  Cordes,,[]
Steve  Reiners,,[]
Eshan  Chattopadhyay,,[]
Gregory David Fuchs,,[]
Tom  Schryver,,[]
Charles H. Greene,,[]
Caroline Ann O'Donnell,,[]
So-Yeon  Yoon,"Lectures are crazy fast and confusing, and probably won't teach you design skills--get ready for Lynda. Projects take a lot of time and may cause crying/binge-eating pizza. ""Mama S-Y"" is really there to help you develop yourself as a designer. She'll work with you individually, give (savage) feedback, and serve as a very patient, caring mentor.","['Graded by few things', 'Group projects', 'Gives good feedback', 'Hilarious', 'Caring']"
Michael  Waldman,,[]
Kristen Nancy Angierski,Ms. A is very nice and genuinely cares about her students. The course material is actually great and will change your perspective on humanity. She grades kind of hard at first but she gives EC for every assignment so you won't flunk unless you're really really really lazy.,"['Gives good feedback', 'Inspirational', 'Caring', 'Participation matters', 'Get ready to read']"
Christian Noel Torres,,[]
William  McGill,,[]
Vicki L. Bogan,Prof. Bogan is awesome. She knows her stuff and really cares about students. Class is pretty easy if you go to class and keep up.,"['Participation matters', 'EXTRA CREDIT', 'Gives good feedback', 'Test heavy', 'Graded by few things']"
Julia E. Miller,,[]
Daniel Dongyuel Lee,,[]
Ernesto  Quinonez,"The fact that this is my first time giving a review here is testament to Ernesto's teaching ability. He's sharp, open-minded, funny, experimental, inspirational, and doesn't BS. He won't sugar-coat, but he will make you a better, more aware writer. And if he pulls you aside to encourage you to send your work out... you know you've made it :)","['Participation matters', 'Hilarious', 'Would take again', 'Gives good feedback']"
Anna Margaret Steppler,,[]
Laurie A. Gillespie,,[]
Rory James Todhunter,,[]
Lewis M. Freedman,,[]
Kerik D. Cox,,[]
Dae Un  Hong,,[]
Chris  Fromme,"I already miss Fromme. Probably my favorite professor at Cornell. Prof. Fromme cares about his students and tests us on what we know instead of what we don't know like some other classes at Cornell. He genuinely cares about our learning and engages with us, even if it's nerdy/cheesy jokes (my favorite). The class is test heavy but if very do-able!","['Inspirational', 'Caring', 'Test heavy']"
Thomas J. O'Toole,,[]
Ewa  Bachminska,,[]
Juan-Jacques  Aupiais,,[]
Nancy M. Wells,,[]
Elizabeth M. Fisher,Such a great professor who really cares about people learning!,"['Inspirational', 'Gives good feedback', 'Caring', 'Respected', 'Group projects']"
Julie M. Menard,,[]
Daniel  Quan,"difficult class but one of the most rewarding! many drop out after the first prelim but should def stay around. GPA isn't everything..this class is great learning!! GENIUS Excellent professsor If you don't take a class with Quan you are missing out on one of best professors not only at Cornell, but in the Ivy League Prof. Quan is amazing.  His real estate and finance knowledge are unsurpassed, and he's got some great contacts when it comes to job hunting.  His courses aren't easy, but you'll get more out of them than 99% of other Cornell courses.",[]
Rory Eric Jurman,,[]
Irene  Eibenstein-Alvisi,,[]
Vivian  Zayas,Reading according to schedule is the key. She is a good lecturer but not at all an easy professor. Lecture will just help you understand but actual contents for the prelims will be from textbook and readings. Take advantages of all extra credit opportunities. Only take it if you're interested in this area. Challenging prelims but doable if you try.,"['Get ready to read', ""Skip class? You won't pass."", 'EXTRA CREDIT', 'Respected', 'Test heavy']"
David M. Feldshuh,"David is amazing! Be prepared to work really hard and dedicate a ton of time to the class, but also get ready to learn SO much.","['Participation matters', 'Gives good feedback', 'Inspirational']"
Patrick C. Carney,,[]
Shad T. Ryan,,[]
Meredith Erin Henry,,[]
Eric E Lewis,,[]
Katherine M Kilburn,,[]
Evan  Riehl,Professor Riehl is super nice!,"['Amazing lectures', 'Participation matters', 'Inspirational', 'Get ready to read', 'EXTRA CREDIT']"
Tobias  Doerr,,[]
Caitlin Ann Kane,"Caitlin TA'd the course, but I decided to review her because she played a HUGE role in my understanding of the content. Clear lecturer, but even better at teaching the practice side of making community-based theater - I loved the exercises she led and found her to be one of the most effective of the 5 professors involved in the course.","['Accessible outside class', ""Skip class? You won't pass."", 'Group projects', 'Gives good feedback', 'So many papers']"
Motoko  Mukai,,[]
Angela E. Douglas,,[]
Katherine Anne Tschida,,[]
Joan Elizabeth Lubin,,[]
Jim  Baker,,[]
Anette  Schwarz,"I took this course during my high school summer and I am a freshman at Cornell rn. Among all the courses I have been taken so far, Prof. Schwarz's GERST 2250 is my favorite. I began to LOVE reading because of the course. A very inspirational, life-changing course to me.","['Inspirational', 'Amazing lectures', 'Caring', 'Participation matters', 'Gives good feedback']"
Anthony L. Burrow,He spoke so fast that he would lose me. The readings can be done fast. I would bust one all-nighter reading the assigned pages before each test and that's all I needed to get an A.,"['EXTRA CREDIT', 'Clear grading criteria', 'Inspirational', 'Hilarious', 'Caring']"
Hirokazu  Miyazaki,,[]
Amnon  Koren,,[]
Francis M. Vanek,"Vanek is extremely nice and always willing to help you. Although he is a little awkward, he's very sweet and means well. His lectures are a little boring if you aren't interested in transportation, but he knows a lot about the subject!","['Clear grading criteria', 'Respected', 'Group projects', 'Lots of homework', 'Caring']"
Haym B Hirsh,Never seen any other professor is as responsible and patient as Prof. Hirsh.  His recitations and replies on piazza are super helpful. He is really a nice guy.,"['Test heavy', 'Caring', 'Graded by few things', 'Tough grader', 'Get ready to read']"
Jazlin Marie Gomez,,[]
Happiness Patrick Bulugu,"I love Happiness so much. I've learned a lot of Swahili from her and would encourage anyone to take her class. If you want to skim by and get an A, it's totally doable. If you really wanted to learn Swahili that's doable too. What you put into this course is what you get out of it. I love starting my day with Happiness and my Swahili class","['Participation matters', 'Caring']"
John Stuart Leslie Parker,,[]
Matt  Hayes,,[]
William L. Crepet,,[]
Kelly Jun Liu,,[]
Nick  Nickitas,,[]
Jennifer  Birkeland,,[]
Manuel  Martin Flores,,[]
Alfred  Center,"Most practical classes at this university.3838 Very demanding and fair. So informative that many lazy and spoiled children whine about the difficulties that the material of his classes present. Lectures are useless. And he's grading is really arbitrary. At the end of the semester a lot of people had issues with the grade. He's a nice guy.  He really cares about his students.  He helps you get a job after graduation if you haven't found one.  He looks mean, but he's really a teddy bear. Very helpful once you prove you know what you're talking about, very intimidating otherwise.",[]
John D. Albertson,,[]
Qi  Hou,,[]
